Sim,K0,Kept,Missing,KeepViews,CLF_Cov,CLF_Set,MinPV_Cov,MinPV_Set,Fisher_Cov,Fisher_Set,AdjF_Cov,AdjF_Set,WAvgL_Cov,WAvgL_Set
3,6,6,0,"[0, 1, 2, 3, 4, 5]",90.82000000000001,4.1763,94.03,5.8678,80.97,3.1723,90.24,4.5013,96.21,6.1626
3,6,5,1,"[0, 1, 2, 3, 4]",90.81,4.2782,93.56,5.6871,82.24000000000001,3.2768,90.01,4.4606,95.7,5.9976
3,6,5,1,"[0, 1, 2, 3, 5]",91.36999999999999,4.3173,93.27,5.6564,82.17,3.3255,90.39,4.5218,96.2,6.159
3,6,5,1,"[0, 1, 2, 4, 5]",90.64,4.3219,93.64,5.7668,82.71,3.4038,90.45,4.613,96.04,6.1905
3,6,5,1,"[0, 1, 3, 4, 5]",90.96,4.3934,93.56,5.8537,82.01,3.3907,90.18,4.6177,96.07,6.1782
3,6,5,1,"[0, 2, 3, 4, 5]",90.64999999999999,4.2806,93.72,5.7951,82.1,3.3281,90.23,4.5423,96.17999999999999,6.1634
3,6,5,1,"[1, 2, 3, 4, 5]",90.94,4.3473,93.89,5.7569,81.86,3.2858,90.22,4.4979,95.86,6.0567
3,6,4,2,"[0, 1, 2, 4]",90.94,4.464,93.25,5.661,83.91999999999999,3.5488,90.19,4.5705,95.47,6.0056
3,6,4,2,"[0, 2, 3, 5]",91.17,4.3745,93.24,5.6755,83.62,3.5326,90.53999999999999,4.5645,96.24000000000001,6.1503
3,6,4,2,"[1, 2, 3, 5]",91.69,4.522,93.32000000000001,5.6242,83.55,3.4791,90.12,4.5102,95.73,6.0357
3,6,4,2,"[0, 1, 2, 5]",91.24,4.5102,93.16,5.6882,83.95,3.652,90.33,4.6829,95.89999999999999,6.1738
3,6,4,2,"[0, 2, 4, 5]",90.34,4.4311,93.43,5.7923,84.00999999999999,3.6322,90.21000000000001,4.6768,95.97,6.1932
3,6,4,2,"[1, 3, 4, 5]",91.12,4.5872,93.35,5.8076,83.14,3.5554,90.02,4.6321,95.67,6.0596
3,6,3,3,"[1, 2, 4]",90.55,4.6101,92.41,5.415,85.28999999999999,3.7713,90.16999999999999,4.5569,94.86,5.779
3,6,3,3,"[1, 3, 4]",90.71000000000001,4.6541,92.34,5.4903,84.73,3.7475,89.84,4.5789,94.86,5.7706
3,6,3,3,"[3, 4, 5]",90.21000000000001,4.7952,92.9,5.7762,84.48,3.9177,90.23,4.8362,94.67,5.9159
3,6,3,3,"[0, 2, 5]",90.89,4.6377,92.31,5.5406,85.78,3.9655,90.53999999999999,4.7711,95.73,6.1719
3,6,3,3,"[0, 1, 5]",91.05,5.0064,92.51,5.8051,85.3,4.1223,90.4,4.99,95.05,6.158
3,6,3,3,"[0, 1, 2]",90.99000000000001,4.6584,92.46,5.4808,85.24000000000001,3.8745,89.99000000000001,4.7139,94.76,5.8963
